Datasets,LR,KNN,RF,ET,LR_BAG,KNN_BAG,RF_BAG,ET_BAG,GB,ADAB,LGB,STACKED_MODEL
loan_default ,0.321,0.324,0.328,0.328,0.319,0.314,0.311,0.32,0.303,0.355,0.293,0.3
house_pricing ,2.457,0.164,0.097,0.089,0.082,0.161,0.094,0.084,0.08,0.102,0.079,0.079
tweets_data ,6.503,5.706,6.133,6.124,6.4,5.787,6.118,6.102,5.822,20.937,5.768,5.611
traffic_data ,15.5,4.833,4.367,4.393,15.13,4.35,4.32,4.251,4.104,4.147,4.059,4.027
avocado_data ,0.145,0.227,0.128,0.137,0.145,0.225,0.122,0.13,0.123,0.21,0.115,0.132
real_estate ,5.654,5.31,4.768,4.571,5.611,5.258,4.315,4.314,4.558,5.429,4.62,4.277
auto_mobile ,4848.59,3649.45,2253.39,2199.36,4234.38,3641.14,2217.87,2101.13,2184.832,2209.549,2199.98,2101.07
german_cred ,7.55,10.544,7.36,8.004,7.617,10.256,7.181,7.225,7.725,8.531,7.854,7.276
supermarket_sales ,75.732,81.908,80.974,86.29,75.627,80.93,79.418,81.093,74.802,75.16,74.47,71.458
